name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,95 500 FCFA,https://www.jumia.sn/refrigerateur-bar-2-portes-118l-a-astech-fp-118-astech-mpg44992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/94489/1.jpg?1050,True,105 000 FCFA,9%,3.7 out of 5,(10)
Astech Réfrigérateur - Astech - 2 Portes - Gris - 138 Litres - A+ - Garantie 12 Mois,139 950 FCFA,https://www.jumia.sn/refrigerateur-astech-2-portes-gris-138-litres-a-garantie-12-mois-astech-mpg42011.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/94489/1.jpg?1050,True,145 000 FCFA,3%,3.3 out of 5,(29)
Haier Réfrigérateur Combiné 175 Litres - 3 Tiroirs - HDR230MPS – Garantie 12 Mois,159 900 FCFA,https://www.jumia.sn/haier-refrigerateur-combine-175-litres-3-tiroirs-hdr230mps-garantie-12-mois-9970868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/80799/1.jpg?7805,True,167 617 FCFA,5%,,
SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - Inox - Garantie 12 Mois,79 900 FCFA,https://www.jumia.sn/smart-technology-refrigerateur-bar-1-porte-90-litres-inox-garantie-12-mois-9827947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449,True,100 000 FCFA,20%,3.1 out of 5,(13)
Beko Réfrigérateur Combiné 300 Litres - 4 Tiroirs - RCSE 300K30SN - Garantie 12 Mois - Classe A+,259 900 FCFA,https://www.jumia.sn/beko-refrigerateur-combine-300-litres-4-tiroirs-rcse-300k30sn-garantie-12-mois-classe-a-9972785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/72799/1.jpg?7475,True,280 000 FCFA,7%,,
Astech Réfrigérateur Mini Bar - Astech - 50 Litres - Garantie 12 Mois - Gris,67 800 FCFA,https://www.jumia.sn/refrigerateur-mini-bar-astech-garantie-12-mois-gris-astech-mpg29804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/94489/1.jpg?6718,True,75 000 FCFA,10%,4.2 out of 5,(17)
Beko Réfrigérateur Combiné 240 Litres - 3 Tiroirs - 240K20S - Gris - Garantie 12 Mois - Classe A+,208 000 FCFA,https://www.jumia.sn/beko-refrigerateur-combine-240-litres-3-tiroirs-240k20s-gris-garantie-12-mois-classe-a-9972783.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/72799/1.jpg?7714,True,220 000 FCFA,5%,3 out of 5,(1)
Réfrigérateur Combiné 3 Tiroirs - 162 Litres - Gris - Garantie 1 an - Classe A+,185 000 FCFA,https://www.jumia.sn/cac-refrigerateur-combine-3-tiroirs-162-litres-gris-garantie-1-an-classe-a-9981668.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/61899/1.jpg?3137,False,300 000 FCFA,38%,,
Astech Réfrigérateur Bar 1 Porte 90 Litres - Gris,89 950 FCFA,https://www.jumia.sn/astech-refrigerateur-bar-1-porte-90-litres-gris-9844993.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/94489/1.jpg?6263,True,95 000 FCFA,5%,3.5 out of 5,(2)
Astech Réfrigérateur Combiné 3 Tiroirs - 162 Litres - Gris - Garantie 1 an - Classe A+,189 950 FCFA,https://www.jumia.sn/astech-refrigerateur-combine-3-tiroirs-162-litres-gris-garantie-1-an-classe-a-9844922.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/94489/1.jpg?1050,True,195 000 FCFA,3%,4 out of 5,(1)
