name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Savonet Gel Lavant Liquide - Aqua - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-aqua-350ml-10030512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/503001/1.jpg?4350,True,,,,
Savonet Gel Lavant Liquide - Pêche - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-peche-350ml-10030513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/503001/1.jpg?4615,True,,,,
Generic Brosse Nettoyante Electrique Pour Visage - 5 In 1 - Rose/Blanc,1 454 FCFA,https://www.jumia.sn/brosse-nettoyante-electrique-pour-visage-5-in-1-roseblanc-generic-mpg32767.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/14906/1.jpg?4413,True,2 851 FCFA,49%,3.2 out of 5,(94)
Bio Karite Beurre de Karité Prémium Pur Non raffiné Bio Karité 100ml,550 FCFA,https://www.jumia.sn/beurre-de-karite-premium-pur-non-raffine-bio-karite-100ml-bio-karite-mpg28004.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/43406/1.jpg?1104,True,2 000 FCFA,73%,3.8 out of 5,(66)
TOPICREM Duo - Ultra-Hydratant Lait Corps - 2x500ML - Rose / Blanc,11 990 FCFA,https://www.jumia.sn/topicrem-duo-ultra-hydratant-lait-corps-2x500ml-rose-blanc-448374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/3844/1.jpg?6602,True,28 000 FCFA,57%,4.3 out of 5,(165)
Pocabana Déodorant Roll-On - 50 ML,650 FCFA,https://www.jumia.sn/pocabana-deodorant-roll-on-50-ml-1259412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/49521/1.jpg?2494,True,1 500 FCFA,57%,4.6 out of 5,(18)
Nova Gel Douche Argan - 300ML,390 FCFA,https://www.jumia.sn/nova-gel-douche-argan-300ml-9156285.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/26519/1.jpg?8630,True,,,4 out of 5,(3)
TOPICREM Gamme Eclaircissant complète - Lait+Crème jour+Crème Nuit + Sérum + Savon,39 990 FCFA,https://www.jumia.sn/topicrem-gamme-eclaircissant-complete-laitcreme-jourcreme-nuit-serum-savon-6034267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/24306/1.jpg?0160,True,90 000 FCFA,56%,4.6 out of 5,(23)
TOPICREM Soins Mela Lait éclaircissant 500 ml + Savon exfoliant 150 gr Offert- Blanc,15 990 FCFA,https://www.jumia.sn/topicrem-soins-mela-lait-eclaircissant-500-ml-savon-exfoliant-150-gr-offert-blanc-6034268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/24306/1.jpg?8543,True,40 000 FCFA,60%,4.2 out of 5,(29)
TOPICREM Ultra-hydratant stick lèvres 4 gr,1 990 FCFA,https://www.jumia.sn/topicrem-ultra-hydratant-stick-levres-4-gr-6077873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/87706/1.jpg?6096,True,4 000 FCFA,50%,3.8 out of 5,(26)
TOPICREM Mela Crème Correctrice jour - 40 ml,9 990 FCFA,https://www.jumia.sn/topicrem-mela-creme-correctrice-jour-40-ml-448383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/3844/1.jpg?1100,True,18 000 FCFA,45%,3.8 out of 5,(28)
White Label Huile Pousse Barbe Rapide - 30 ml,1 275 FCFA,https://www.jumia.sn/huile-pousse-barbe-rapide-30-ml-white-label-mpg30128.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/89616/1.jpg?3823,False,10 000 FCFA,87%,3.1 out of 5,(53)
Bio Karite Beurre de Karité Prémium Pur Non raffiné Bio Karité 300ml,1 450 FCFA,https://www.jumia.sn/beurre-de-karite-premium-pur-non-raffine-bio-karite-300ml-bio-karite-mpg28005.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/43406/1.jpg?1104,True,2 500 FCFA,42%,4.2 out of 5,(69)
Prepharm - Lait de Beauté Douceur - Karité Bio Argan - 500 ml,1 800 FCFA,https://www.jumia.sn/prepharm-lait-de-beaute-douceur-karite-bio-argan-500-ml-1359299.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/29531/1.jpg?2865,True,3 000 FCFA,40%,4.2 out of 5,(24)
Generic Gel d'Aloe Vera - 300 ml,1 445 FCFA,https://www.jumia.sn/gel-daloe-vera-300-ml-generic-mpg13670.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/30716/1.jpg?4312,False,1 700 FCFA,15%,4.2 out of 5,(42)
Sivoderm Crème De Beauté - 300ML,640 FCFA,https://www.jumia.sn/sivoderm-creme-de-beaute-300ml-9156298.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/26519/1.jpg?4231,True,,,,
TOPICREM Soins bébé : Mon 1er Lait Ultra-Hydratant 500ml+ Pain surgras 150 gr,8 990 FCFA,https://www.jumia.sn/topicrem-soins-bebe-mon-1er-lait-ultra-hydratant-500ml-pain-surgras-150-gr-6034269.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/24306/1.jpg?4646,True,22 000 FCFA,59%,4 out of 5,(6)
White 100% naturel-Crème hanche Boom développe fésse et seins,2 900 FCFA,https://www.jumia.sn/100-naturel-creme-hanche-boom-developpe-fesse-et-seins-white-mpg40250.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/84579/1.jpg?7337,False,10 000 FCFA,71%,3.7 out of 5,(3)
TOPICREM AC Gel Nettoyant Purifiant - 400 ml,7 990 FCFA,https://www.jumia.sn/topicrem-ac-gel-nettoyant-purifiant-400-ml-448373.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3844/1.jpg?7714,True,12 000 FCFA,33%,4.3 out of 5,(37)
